Player Hand,Bot Hand,Player Strength,Bot Strength,Player Preflop Action,Bot Preflop Action,Player Flop Action,Bot Flop Action,Player Turn Action,Bot Turn Action,Player River Action,Bot River Action,Player Balance,Winner
"6 of Hearts, 5 of Hearts","6 of Diamonds, K of Hearts",,,RAISE 100,FOLD,,,,,,,1010,Player
"Q of Clubs, 10 of Diamonds","6 of Clubs, Q of Spades",,,RAISE 44,FOLD,,,,,,,1020,Player
"K of Hearts, 10 of Diamonds","4 of Diamonds, 5 of Diamonds",,,CALL,RAISE 91,RAISE 5,,CALL,FOLD,,,1429,Player
"Q of Clubs, 4 of Hearts","4 of Diamonds, 9 of Hearts",,,RAISE 66,CALL,FOLD,,,,,,1353,Bot
"J of Diamonds, 8 of Hearts","2 of Hearts, 4 of Diamonds",,,,FOLD,,,,,,,1358,Player
"5 of Clubs, J of Spades","8 of Clubs, 6 of Spades",,,FOLD,,,,,,,,1353,Bot
