Player Hand,Bot Hand,Player Strength,Bot Strength,Player Preflop Action,Bot Preflop Action,Player Flop Action,Bot Flop Action,Player Turn Action,Bot Turn Action,Player River Action,Bot River Action,Player Balance,Winner
"Q of Clubs, Q of Spades","4 of Clubs, A of Hearts",,,RAISE 12,FOLD,,,,,,,1010,Player
"Q of Clubs, 7 of Clubs","7 of Diamonds, 9 of Hearts",,,,FOLD,,,,,,,1015,Player
"3 of Clubs, A of Hearts","2 of Diamonds, 6 of Hearts",,,RAISE 55,FOLD,,,,,,,1025,Player
