Player Hand,Bot Hand,Player Strength,Bot Strength,Player Preflop Action,Bot Preflop Action,Player Flop Action,Bot Flop Action,Player Turn Action,Bot Turn Action,Player River Action,Bot River Action,Player Balance,Winner
"4 of Hearts, 6 of Spades","2 of Diamonds, 10 of Clubs",,,CALL,FOLD,,,,,,,1010,Player
"Q of Spades, 4 of Clubs","9 of Spades, 9 of Diamonds",,,CALL,CALL,FOLD,,,,,,1000,Bot
